Ubicación geográfica,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
Total,22476,410.8421,0:01:05
US,3870,90.7612,0:01:24
GB,2251,41.7824,0:01:06
IN,980,20.3077,0:01:14
AU,419,9.3463,0:01:20
ID,381,2.5692,0:00:24
PH,335,3.1569,0:00:33
ES,328,2.2172,0:00:24
BR,274,2.8471,0:00:37
VN,225,1.1223,0:00:17
CA,209,1.9202,0:00:33
RU,140,0.5436,0:00:13
DO,132,1.2271,0:00:33
ZA,122,1.0469,0:00:30
NZ,117,2.562,0:01:18
MY,100,0.7274,0:00:26
DE,95,0.3341,0:00:12
TH,79,0.3752,0:00:17
TR,72,0.3361,0:00:16
MX,71,0.1932,0:00:09
IQ,64,0.1688,0:00:09
SA,54,0.2437,0:00:16
UZ,54,0.2586,0:00:17
IT,42,0.1946,0:00:16
AR,40,0.7784,0:01:10
KR,40,0.1738,0:00:15
BD,38,0.3883,0:00:36
JP,36,0.1562,0:00:15
NL,31,0.1907,0:00:22
PL,29,0.0754,0:00:09
TW,26,0.194,0:00:26
IE,25,0.0924,0:00:13
MM,22,0.0446,0:00:07
PK,21,0.0491,0:00:08
EG,19,0.0294,0:00:05
DZ,18,0.0704,0:00:14
AE,16,0.096,0:00:21
KH,15,0.0888,0:00:21
KZ,14,0.0372,0:00:09
FR,13,0.1031,0:00:28
LC,13,0.5377,0:02:28
PA,13,0.1685,0:00:46
CL,12,0.0926,0:00:27
CO,12,0.0234,0:00:07
PS,12,0.0244,0:00:07
SG,12,0.1895,0:00:56
HK,11,0.0941,0:00:30
JO,11,0.0481,0:00:15
MN,11,0.0201,0:00:06
SY,11,0.0366,0:00:11
KG,10,0.0266,0:00:09
LB,10,0.0148,0:00:05
PT,10,0.1446,0:00:52
UA,10,0.0178,0:00:06
AT,0,0,
BG,0,0,
