Título del video,Volumne de Audio
African Flags Quiz | Facts Quiz,2.9899998 dB (⛔High) 
Animal Quiz for Kids | Facts Quiz,0.010000229 dB (🏆Loudness level good) 
Can You Name These Iconic HORROR MOVIES?,-1.7399998 dB (⚠️A bit low) 
Capitals of the World Quiz | Facts Quiz,0.09000015 dB (🏆Loudness level good) 
Design Your DREAM HALLOWEEN House Room by Room?,3.04 dB (⛔Very High) 
Flags Quiz for Kids | Facts Quiz,3.5200005 dB (⛔Very High) 
Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,1.7799997 dB (⚠️A bit high)
Harry Potter | Facts Quiz,1.4499998 dB ⚠️A bit high) 
Harry Potter EXPERTS Only! Tricky Questions Ahead!,-5.8500004 dB (⛔Audio Quality Ultra Low) 
Name the Flower | Facts Quiz,-1.7200003 dB (⚠️A bit low) 
Olympics Quiz | Facts Quiz,2.5 dB (⛔High) 
Planets and Space Quiz | Facts Quiz,-3.6000004 dB (⛔Loudness level very low) 
Quiz Olympics 2 | Facts Quiz, 2.4799995 dB (⛔High) 
Test Your Bird Knowledge With This Calming Quiz!,1.0299997 dB ⚠️A bit high)
The Most Difficult Flag Quiz Ever (Can You Get Them All?), -0.71000004 dB (🏆Loudness level good) 
Water Cycle Quiz | Facts Quiz,1.5 dB (⚠️A bit high) 
Women in History | Facts Quiz,0.72999954 dB (🏆Loudness level good) 
Would You Rather ..? | Disney Parks 🏰 🎢 🧚 | The Quiz Challenge,-2.0699997 dB (⛔Loudness is low)
Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,-4.379999 dB (⛔Loudness level very low) 
Would You Rather... Hardest Choices Edition,0.19999981 dB (🏆Loudness level good)
Would you Rather... Summer Edition,-4.7700005 dB (⛔Loudness level very low) 
