Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%)
Total,22476,410.8421,0:01:05,497405,2.76
Videos sugeridos,13672,264.0579,0:01:09,426623,2.67
Feed de Shorts,3897,20.8972,0:00:19,,
Funciones de exploración,2094,64.5114,0:01:50,57345,2.86
Directa o desconocida,733,19.1385,0:01:33,,
Externas,706,18.6788,0:01:35,,
Canales de usuario,546,6.6015,0:00:43,9086,4.22
Búsqueda de YouTube,461,8.6888,0:01:07,3692,6.83
Otras funciones de YouTube,215,5.2034,0:01:27,,
Playlists,63,0.832,0:00:47,659,5.92
Notificaciones,35,0.6724,0:01:09,,
Pantallas finales,32,1.3954,0:02:36,,
Shorts relacionados,15,0.1234,0:00:29,,
Páginas de hashtag,4,0.0248,0:00:22,,
Páginas de sonido,3,0.0164,0:00:19,,
